1 6000000000 278483281629 12000000000 720248288322 18000000000 1075632778002 
3 6000000000 108613464877 12000000000 285580908237 18000000000 438322019460
6 6000000000 70784225453 12000000000 171397193368 18000000000 268545154252
10 60000000000 502336186370 120000000000 1147716414038 180000000000 1938241290565 
30 60000000000 295861034643 120000000000 681184219923 180000000000 1212385005735 
60 60000000000 218717647630 120000000000 563604951898 180000000000 965088808610 
100 60000000000 170998814666 120000000000 484481707501 180000000000 860993445454 
300 60000000000 132711715736 120000000000 400404243157 180000000000 750143200565 
600 60000000000 119002438666 120000000000 385557105144 180000000000 713864016343 
1000 60000000000 117136447094 120000000000 367459710507 180000000000 697951770234 
